Distance Between Stations (km),Weather Conditions,Time of Day,Train Type,Historical Delay (min),Route Congestion,
195,Foggy,Afternoon,Superfast,34,Low,
275,Clear,Evening,Local,0,Medium,
190,Rainy,Night,Express,10,High,
145,Foggy,Morning,Superfast,35,Low,
255,Clear,Afternoon,Local,2,Medium,
160,Rainy,Evening,Express,11,High,
130,Foggy,Night,Superfast,36,Low,
240,Clear,Morning,Local,1,Medium,
175,Rainy,Afternoon,Local,12,High,
140,Foggy,Evening,Superfast,37,Low,
250,Clear,Night,Express,2,Medium,
165,Rainy,Morning,Superfast,13,High,
135,Foggy,Afternoon,Local,38,Low,
235,Clear,Evening,Express,3,Medium,
180,Rainy,Night,Superfast,14,High,
145,Foggy,Morning,Local,39,Low,
255,Clear,Afternoon,Express,4,Medium,
185,Rainy,Evening,Superfast,15,High,
150,Foggy,Night,Local,40,Low,
260,Clear,Morning,Local,5,Medium,
170,Rainy,Afternoon,Express,16,High,
155,Foggy,Evening,Superfast,41,Low,
240,Clear,Night,Local,6,Medium,
195,Rainy,Morning,Express,17,High,
160,Foggy,Afternoon,Superfast,42,Low,
265,Clear,Evening,Local,7,Medium,
200,Rainy,Night,Express,18,High,
175,Foggy,Morning,Superfast,43,Low,
245,Clear,Afternoon,Local,8,Medium,
205,Rainy,Evening,Superfast,19,High,
165,Foggy,Night,Local,44,Low,
270,Clear,Morning,Express,9,Medium,
210,Rainy,Afternoon,Superfast,20,High,
180,Foggy,Evening,Local,45,Low,
250,Clear,Night,Express,10,Medium,
215,Rainy,Morning,Superfast,21,High,
185,Foggy,Afternoon,Local,46,Low,
260,Clear,Evening,Superfast,22,Medium,
220,Rainy,Night,Local,47,Low,
195,Foggy,Morning,Express,23,High,
275,Clear,Afternoon,Local,11,Medium,
230,Rainy,Evening,Superfast,48,Low,
200,Foggy,Night,Local,24,Medium,
285,Clear,Morning,Express,12,High,
240,Rainy,Afternoon,Superfast,49,Low,
205,Foggy,Evening,Local,25,Medium,
290,Clear,Night,Express,13,High,
250,Rainy,Morning,Superfast,50,Low,
210,Foggy,Afternoon,Local,26,Medium,
295,Clear,Evening,Superfast,14,High,
255,Rainy,Night,Local,51,Low,
215,Foggy,Morning,Express,27,Medium,
300,Clear,Afternoon,Local,15,High,
260,Rainy,Evening,Superfast,52,Low,
220,Foggy,Night,Express,28,Medium,
305,Clear,Morning,Local,16,High,
265,Rainy,Afternoon,Superfast,53,Low,
225,Foggy,Evening,Local,29,Medium,
310,Clear,Night,Express,17,High,
270,Rainy,Morning,Superfast,54,Low,
230,Foggy,Afternoon,Local,30,Medium,
315,Clear,Evening,Superfast,18,High,
275,Rainy,Night,Local,55,Low,
235,Foggy,Morning,Express,31,Medium,
320,Clear,Afternoon,Local,19,High,
280,Rainy,Evening,Superfast,56,Low,
240,Foggy,Night,Express,32,Medium,
325,Clear,Morning,Local,20,High,
285,Rainy,Afternoon,Superfast,57,Low,
245,Foggy,Evening,Local,33,Medium,
330,Clear,Night,Express,21,High,
290,Rainy,Morning,Superfast,58,Low,
250,Foggy,Afternoon,Local,34,Medium,
335,Clear,Evening,Local,22,High,
295,Rainy,Night,Superfast,59,Low,
255,Foggy,Morning,Express,35,Medium,
340,Clear,Afternoon,Express,23,High,
300,Rainy,Evening,Superfast,60,Low,
260,Foggy,Night,Local,36,Medium,
345,Clear,Morning,Local,24,High,
305,Rainy,Afternoon,Superfast,61,Low,
180,Clear,Morning,Local,5,Medium,
140,Rainy,Afternoon,Express,15,High,
200,Foggy,Evening,Superfast,20,Low,
250,Clear,Night,Local,3,Medium,
165,Rainy,Morning,Express,18,High,
220,Foggy,Afternoon,Superfast,25,Low,
190,Clear,Evening,Local,2,Medium,
130,Rainy,Night,Express,16,High,
210,Foggy,Morning,Superfast,22,Low,
175,Clear,Afternoon,Local,4,Medium,
145,Rainy,Evening,Express,19,High,
180,Foggy,Night,Superfast,26,Low,
160,Clear,Morning,Local,1,Medium,
120,Rainy,Afternoon,Express,17,High,
190,Foggy,Evening,Superfast,23,Low,
140,Clear,Night,Local,3,Medium,
130,Rainy,Morning,Express,18,High,
170,Foggy,Afternoon,Superfast,24,Low,
150,Clear,Evening,Local,2,Medium,
125,Rainy,Night,Express,15,High,
160,Foggy,Morning,Superfast,21,Low,
135,Clear,Afternoon,Local,4,Medium,
120,Rainy,Evening,Express,17,High,
180,Foggy,Night,Superfast,25,Low,
150,Clear,Morning,Local,3,Medium,
140,Rainy,Afternoon,Express,18,High,
170,Foggy,Evening,Superfast,24,Low,
160,Clear,Night,Local,2,Medium,
110,Rainy,Morning,Express,16,High,
150,Foggy,Afternoon,Superfast,23,Low,
145,Clear,Evening,Local,1,Medium,
100,Rainy,Night,Express,15,High,
160,Foggy,Morning,Superfast,22,Low,
150,Clear,Afternoon,Local,2,Medium,
120,Rainy,Evening,Express,17,High,
170,Foggy,Night,Superfast,24,Low,
155,Clear,Morning,Local,3,Medium,
110,Rainy,Afternoon,Express,16,High,
160,Foggy,Evening,Superfast,23,Low,
140,Clear,Night,Local,1,Medium,
100,Rainy,Morning,Express,15,High,
150,Foggy,Afternoon,Superfast,22,Low,
145,Clear,Evening,Local,2,Medium,
110,Rainy,Night,Express,16,High,
160,Foggy,Morning,Superfast,23,Low,
140,Clear,Afternoon,Local,1,Medium,
100,Rainy,Evening,Express,15,High,
180,Clear,Morning,Local,1,Medium,
140,Rainy,Afternoon,Express,17,High,
90,Foggy,Evening,Superfast,28,Low,
210,Clear,Night,Local,0,Medium,
150,Rainy,Morning,Express,16,High,
100,Foggy,Afternoon,Superfast,25,Low,
230,Clear,Evening,Local,2,Medium,
120,Rainy,Night,Express,15,High,
60,Foggy,Morning,Superfast,29,Low,
190,Clear,Afternoon,Local,1,Medium,
130,Rainy,Evening,Express,18,High,
70,Foggy,Night,Superfast,26,Low,
220,Clear,Morning,Local,0,Medium,
160,Rainy,Afternoon,Express,14,High,
80,Foggy,Evening,Superfast,27,Low,
200,Clear,Night,Local,2,Medium,
110,Rainy,Morning,Express,13,High,
50,Foggy,Afternoon,Superfast,30,Low,
240,Clear,Evening,Local,1,Medium,
170,Rainy,Night,Express,12,High,
85,Foggy,Morning,Superfast,28,Low,
215,Clear,Afternoon,Local,0,Medium,
145,Rainy,Evening,Express,11,High,
95,Foggy,Night,Superfast,29,Low,
235,Clear,Morning,Local,2,Medium,
175,Rainy,Afternoon,Express,10,High,
55,Foggy,Evening,Superfast,27,Low,
225,Clear,Night,Local,1,Medium,
135,Rainy,Morning,Express,9,High,
75,Foggy,Afternoon,Superfast,26,Low,
205,Clear,Evening,Local,0,Medium,
125,Rainy,Night,Express,8,High,
65,Foggy,Morning,Superfast,25,Low,
195,Clear,Afternoon,Local,1,Medium,
155,Rainy,Evening,Express,7,High,
45,Foggy,Night,Superfast,30,Low,
245,Clear,Morning,Local,0,Medium,
165,Rainy,Afternoon,Express,6,High,
105,Foggy,Evening,Superfast,24,Low,
215,Clear,Night,Local,2,Medium,
250,Clear,Morning,Local,1,Medium,
180,Rainy,Afternoon,Express,5,High,
110,Foggy,Evening,Superfast,23,Low,
230,Clear,Night,Local,0,Medium,
170,Rainy,Morning,Express,4,High,
90,Foggy,Afternoon,Superfast,22,Low,
240,Clear,Evening,Local,2,Medium,
160,Rainy,Night,Express,3,High,
100,Foggy,Morning,Superfast,21,Low,
220,Clear,Afternoon,Local,0,Medium,
150,Rainy,Evening,Express,2,High,
80,Foggy,Night,Superfast,20,Low,
235,Clear,Morning,Local,1,Medium,
140,Rainy,Afternoon,Express,6,High,
70,Foggy,Evening,Superfast,19,Low,
245,Clear,Night,Local,0,Medium,
130,Rainy,Morning,Express,5,High,
60,Foggy,Afternoon,Superfast,18,Low,
215,Clear,Evening,Local,2,Medium,
120,Rainy,Night,Express,4,High,
50,Foggy,Morning,Superfast,17,Low,
230,Clear,Afternoon,Local,1,Medium,
165,Rainy,Evening,Express,3,High,
85,Foggy,Night,Superfast,16,Low,
255,Clear,Morning,Local,0,Medium,
175,Rainy,Afternoon,Express,7,High,
95,Foggy,Evening,Superfast,15,Low,
225,Clear,Night,Local,1,Medium,
135,Rainy,Morning,Express,6,High,
55,Foggy,Afternoon,Superfast,14,Low,
240,Clear,Evening,Local,2,Medium,
145,Rainy,Night,Express,5,High,
75,Foggy,Morning,Superfast,13,Low,
250,Clear,Afternoon,Local,0,Medium,
155,Rainy,Evening,Express,4,High,
65,Foggy,Night,Superfast,12,Low,
235,Clear,Morning,Local,1,Medium,
125,Rainy,Afternoon,Express,3,High,
45,Foggy,Evening,Superfast,11,Low,
215,Clear,Night,Local,2,Medium,
200,Clear,Morning,Local,5,Medium,
160,Rainy,Afternoon,Express,12,High,
180,Foggy,Evening,Superfast,20,Low,
250,Clear,Night,Local,8,Medium,
170,Rainy,Morning,Express,15,High,
220,Foggy,Afternoon,Superfast,22,Low,
190,Clear,Evening,Local,6,Medium,
140,Rainy,Night,Express,16,High,
210,Foggy,Morning,Superfast,25,Low,
175,Clear,Afternoon,Local,7,Medium,
150,Rainy,Evening,Express,18,High,
185,Foggy,Night,Superfast,23,Low,
160,Clear,Morning,Local,4,Medium,
130,Rainy,Afternoon,Express,14,High,
200,Foggy,Evening,Superfast,21,Low,
150,Clear,Night,Local,9,Medium,
140,Rainy,Morning,Express,17,High,
180,Foggy,Afternoon,Superfast,24,Low,
170,Clear,Evening,Local,8,Medium,
120,Rainy,Night,Express,19,High,
190,Foggy,Morning,Superfast,26,Low,
160,Clear,Afternoon,Local,5,Medium,
130,Rainy,Evening,Express,20,High,
200,Foggy,Night,Superfast,27,Low,
170,Clear,Morning,Local,6,Medium,
140,Rainy,Afternoon,Express,21,High,
180,Foggy,Evening,Superfast,28,Low,
165,Clear,Night,Local,7,Medium,
125,Rainy,Morning,Express,22,High,
190,Foggy,Afternoon,Superfast,29,Low,
170,Clear,Evening,Local,8,Medium,
135,Rainy,Night,Express,23,High,
180,Foggy,Morning,Superfast,30,Low,
160,Clear,Afternoon,Local,9,Medium,
130,Rainy,Evening,Express,24,High,
190,Foggy,Night,Superfast,31,Low,
165,Clear,Morning,Local,10,Medium,
120,Rainy,Afternoon,Express,25,High,
200,Foggy,Evening,Superfast,32,Low,
175,Clear,Night,Local,11,Medium,
135,Rainy,Morning,Express,26,High,
180,Foggy,Afternoon,Superfast,33,Low,
160,Clear,Evening,Local,12,Medium,
130,Rainy,Night,Express,27,High,
190,Foggy,Morning,Superfast,34,Low,
170,Clear,Afternoon,Local,13,Medium,
140,Rainy,Evening,Express,28,High,
260,Clear,Morning,Local,0,Medium,
180,Rainy,Afternoon,Express,2,High,
95,Foggy,Evening,Superfast,10,Low,
235,Clear,Night,Local,1,Medium,
145,Rainy,Morning,Express,3,High,
55,Foggy,Afternoon,Superfast,9,Low,
225,Clear,Evening,Local,0,Medium,
135,Rainy,Night,Express,4,High,
75,Foggy,Morning,Superfast,8,Low,
245,Clear,Afternoon,Local,2,Medium,
155,Rainy,Evening,Express,5,High,
65,Foggy,Night,Superfast,7,Low,
215,Clear,Morning,Local,1,Medium,
125,Rainy,Afternoon,Express,6,High,
85,Foggy,Evening,Superfast,11,Low,
255,Clear,Night,Local,0,Medium,
165,Rainy,Morning,Express,7,High,
50,Foggy,Afternoon,Superfast,10,Low,
230,Clear,Evening,Local,2,Medium,
140,Rainy,Night,Express,8,High,
90,Foggy,Morning,Superfast,9,Low,
240,Clear,Afternoon,Local,1,Medium,
150,Rainy,Evening,Express,7,High,
100,Foggy,Night,Superfast,12,Low,
220,Clear,Morning,Local,0,Medium,
130,Rainy,Afternoon,Express,5,High,
60,Foggy,Evening,Superfast,8,Low,
250,Clear,Night,Local,1,Medium,
170,Rainy,Morning,Express,6,High,
80,Foggy,Afternoon,Superfast,7,Low,
210,Clear,Evening,Local,2,Medium,
120,Rainy,Night,Express,4,High,
70,Foggy,Morning,Superfast,9,Low,
205,Clear,Afternoon,Local,0,Medium,
160,Rainy,Evening,Express,3,High,
45,Foggy,Night,Superfast,10,Low,
265,Clear,Morning,Local,1,Medium,
175,Rainy,Afternoon,Express,6,High,
105,Foggy,Evening,Superfast,11,Low,
215,Clear,Night,Local,2,Medium,
200,Clear,Afternoon,Superfast,15,Medium,
140,Rainy,Evening,Express,20,High,
180,Foggy,Night,Local,10,Low,
250,Clear,Morning,Local,5,Medium,
170,Rainy,Afternoon,Express,18,High,
220,Foggy,Evening,Superfast,25,Low,
190,Clear,Night,Local,8,Medium,
140,Rainy,Morning,Express,17,High,
210,Foggy,Afternoon,Superfast,22,Low,
175,Clear,Evening,Local,6,Medium,
150,Rainy,Night,Express,19,High,
185,Foggy,Morning,Superfast,23,Low,
160,Clear,Afternoon,Local,7,Medium,
130,Rainy,Evening,Express,16,High,
180,Foggy,Night,Superfast,24,Low,
165,Clear,Morning,Local,9,Medium,
120,Rainy,Afternoon,Express,15,High,
190,Foggy,Evening,Superfast,20,Low,
170,Clear,Night,Local,4,Medium,
140,Rainy,Morning,Express,14,High,
180,Foggy,Afternoon,Superfast,21,Low,
160,Clear,Evening,Local,5,Medium,
130,Rainy,Night,Express,18,High,
170,Foggy,Morning,Superfast,22,Low,
150,Clear,Afternoon,Local,6,Medium,
120,Rainy,Evening,Express,17,High,
190,Foggy,Night,Superfast,23,Low,
170,Clear,Morning,Local,7,Medium,
140,Rainy,Afternoon,Express,16,High,
180,Foggy,Evening,Superfast,24,Low,
160,Clear,Night,Local,8,Medium,
130,Rainy,Morning,Express,19,High,
170,Foggy,Afternoon,Superfast,25,Low,
150,Clear,Evening,Local,9,Medium,
120,Rainy,Night,Express,20,High,
190,Foggy,Morning,Superfast,26,Low,
170,Clear,Afternoon,Local,10,Medium,
140,Rainy,Evening,Express,21,High,
180,Foggy,Night,Superfast,27,Low,
160,Clear,Morning,Local,11,Medium,
130,Rainy,Afternoon,Express,22,High,
170,Foggy,Evening,Superfast,28,Low,
150,Clear,Night,Local,12,Medium,
120,Rainy,Morning,Express,23,High,
190,Foggy,Afternoon,Superfast,29,Low,
170,Clear,Evening,Local,13,Medium,
140,Rainy,Night,Express,24,High,
200,Clear,Morning,Local,5,Medium,
160,Rainy,Afternoon,Express,12,High,
180,Foggy,Evening,Superfast,20,Low,
250,Clear,Night,Local,8,Medium,
170,Rainy,Morning,Express,15,High,
220,Foggy,Afternoon,Superfast,22,Low,
190,Clear,Evening,Local,6,Medium,
140,Rainy,Night,Express,16,High,
210,Foggy,Morning,Superfast,25,Low,
175,Clear,Afternoon,Local,7,Medium,
150,Rainy,Evening,Express,18,High,
185,Foggy,Night,Superfast,23,Low,
160,Clear,Morning,Local,4,Medium,
130,Rainy,Afternoon,Express,14,High,
200,Foggy,Evening,Superfast,21,Low,
150,Clear,Night,Local,9,Medium,
140,Rainy,Morning,Express,17,High,
180,Foggy,Afternoon,Superfast,24,Low,
170,Clear,Evening,Local,8,Medium,
120,Rainy,Night,Express,19,High,
190,Foggy,Morning,Superfast,26,Low,
160,Clear,Afternoon,Local,5,Medium,
130,Rainy,Evening,Express,20,High,
200,Foggy,Night,Superfast,27,Low,
170,Clear,Morning,Local,6,Medium,
140,Rainy,Afternoon,Express,21,High,
180,Foggy,Evening,Superfast,28,Low,
165,Clear,Night,Local,7,Medium,
125,Rainy,Morning,Express,22,High,
190,Foggy,Afternoon,Superfast,29,Low,
170,Clear,Evening,Local,8,Medium,
135,Rainy,Night,Express,23,High,
180,Foggy,Morning,Superfast,30,Low,
160,Clear,Afternoon,Local,9,Medium,
130,Rainy,Evening,Express,24,High,
190,Foggy,Night,Superfast,31,Low,
170,Clear,Evening,Local,10,Medium,
140,Rainy,Night,Express,25,High,
180,Foggy,Morning,Superfast,32,Low,
160,Clear,Evening,Local,11,Medium,
130,Rainy,Morning,Express,26,High,
190,Foggy,Afternoon,Superfast,33,Low,
170,Clear,Evening,Local,12,Medium,
140,Rainy,Night,Express,27,High,
180,Foggy,Morning,Superfast,34,Low,
160,Clear,Afternoon,Local,13,Medium,
130,Rainy,Evening,Express,28,High,
200,Clear,Morning,Local,10,Medium,
160,Rainy,Afternoon,Express,15,High,
180,Foggy,Evening,Superfast,20,Low,
250,Clear,Night,Local,5,Medium,
170,Rainy,Morning,Express,18,High,
220,Foggy,Afternoon,Superfast,22,Low,
190,Clear,Evening,Local,6,Medium,
140,Rainy,Night,Express,19,High,
210,Foggy,Morning,Superfast,23,Low,
175,Clear,Afternoon,Local,7,Medium,
150,Rainy,Evening,Express,20,High,
185,Foggy,Night,Superfast,24,Low,
160,Clear,Morning,Local,8,Medium,
130,Rainy,Afternoon,Express,17,High,
200,Foggy,Evening,Superfast,21,Low,
150,Clear,Night,Local,9,Medium,
140,Rainy,Morning,Express,16,High,
180,Foggy,Afternoon,Superfast,25,Low,
170,Clear,Evening,Local,10,Medium,
120,Rainy,Night,Express,15,High,
190,Foggy,Morning,Superfast,26,Low,
160,Clear,Afternoon,Local,11,Medium,
130,Rainy,Evening,Express,16,High,
200,Foggy,Night,Superfast,27,Low,
170,Clear,Morning,Local,12,Medium,
140,Rainy,Afternoon,Express,17,High,
180,Foggy,Evening,Superfast,28,Low,
165,Clear,Night,Local,13,Medium,
125,Rainy,Morning,Express,18,High,
190,Foggy,Afternoon,Superfast,29,Low,
170,Clear,Evening,Local,14,Medium,
140,Rainy,Night,Express,19,High,
180,Foggy,Morning,Superfast,30,Low,
160,Clear,Afternoon,Local,15,Medium,
130,Rainy,Evening,Express,20,High,
190,Foggy,Night,Superfast,31,Low,
170,Clear,Morning,Local,16,Medium,
140,Rainy,Afternoon,Express,21,High,
180,Foggy,Evening,Superfast,32,Low,
160,Clear,Night,Local,17,Medium,
130,Rainy,Morning,Express,22,High,
190,Foggy,Afternoon,Superfast,33,Low,
170,Clear,Evening,Local,18,Medium,
140,Rainy,Night,Express,23,High,
180,Foggy,Morning,Superfast,34,Low,
160,Clear,Afternoon,Local,19,Medium,
130,Rainy,Evening,Express,24,High,
190,Foggy,Night,Superfast,35,Low,
170,Clear,Morning,Local,20,Medium,
200,Clear,Morning,Local,5,Medium,
160,Rainy,Afternoon,Express,12,High,
180,Foggy,Evening,Superfast,20,Low,
250,Clear,Night,Local,8,Medium,
170,Rainy,Morning,Express,15,High,
220,Foggy,Afternoon,Superfast,22,Low,
190,Clear,Evening,Local,6,Medium,
140,Rainy,Night,Express,16,High,
210,Foggy,Morning,Superfast,25,Low,
175,Clear,Afternoon,Local,7,Medium,
150,Rainy,Evening,Express,18,High,
185,Foggy,Night,Superfast,23,Low,
160,Clear,Morning,Local,4,Medium,
130,Rainy,Afternoon,Express,14,High,
200,Foggy,Evening,Superfast,21,Low,
150,Clear,Night,Local,9,Medium,
140,Rainy,Morning,Express,17,High,
180,Foggy,Afternoon,Superfast,24,Low,
165,Clear,Evening,Local,5,Medium,
125,Rainy,Night,Express,19,High,
190,Foggy,Morning,Superfast,26,Low,
170,Clear,Afternoon,Local,6,Medium,
140,Rainy,Evening,Express,20,High,
180,Foggy,Night,Superfast,25,Low,
160,Clear,Morning,Local,7,Medium,
130,Rainy,Afternoon,Express,21,High,
200,Foggy,Evening,Superfast,26,Low,
150,Clear,Night,Local,8,Medium,
140,Rainy,Morning,Express,22,High,
180,Foggy,Afternoon,Superfast,27,Low,
170,Clear,Evening,Local,9,Medium,
120,Rainy,Night,Express,23,High,
190,Foggy,Morning,Superfast,28,Low,
160,Clear,Afternoon,Local,10,Medium,
130,Rainy,Evening,Express,24,High,
200,Foggy,Night,Superfast,29,Low,
170,Clear,Morning,Local,11,Medium,
140,Rainy,Afternoon,Express,25,High,
180,Foggy,Evening,Superfast,30,Low,
165,Clear,Night,Local,12,Medium,
125,Rainy,Morning,Express,26,High,
190,Foggy,Afternoon,Superfast,31,Low,
170,Clear,Evening,Local,13,Medium,
140,Rainy,Night,Express,27,High,
180,Foggy,Morning,Superfast,32,Low,
160,Clear,Afternoon,Local,14,Medium,
130,Rainy,Evening,Express,28,High,
190,Foggy,Night,Superfast,33,Low,
170,Clear,Morning,Local,15,Medium,
140,Rainy,Afternoon,Express,29,High,
180,Foggy,Evening,Superfast,34,Low,
160,Clear,Night,Local,16,Medium,
130,Rainy,Morning,Express,30,High,
190,Foggy,Afternoon,Superfast,35,Low,
170,Clear,Evening,Local,17,Medium,
140,Rainy,Night,Express,31,High,
180,Foggy,Morning,Superfast,36,Low,
160,Clear,Afternoon,Local,18,Medium,
130,Rainy,Evening,Express,32,High,
190,Foggy,Night,Superfast,37,Low,
170,Clear,Morning,Local,19,Medium,
140,Rainy,Afternoon,Express,33,High,
180,Foggy,Evening,Superfast,38,Low,
160,Clear,Night,Local,20,Medium,
130,Rainy,Morning,Express,34,High,
190,Foggy,Afternoon,Superfast,39,Low,
170,Clear,Evening,Local,21,Medium,
140,Rainy,Night,Express,35,High,
180,Foggy,Morning,Superfast,40,Low,
160,Clear,Afternoon,Local,22,Medium,
130,Rainy,Evening,Express,36,High,
190,Foggy,Night,Superfast,41,Low,
170,Clear,Morning,Local,23,Medium,
140,Rainy,Afternoon,Express,37,High,
180,Foggy,Evening,Superfast,42,Low,
160,Clear,Night,Local,24,Medium,
130,Rainy,Morning,Express,38,High,
190,Foggy,Afternoon,Superfast,43,Low,
170,Clear,Evening,Local,25,Medium,
140,Rainy,Night,Express,39,High,
180,Foggy,Morning,Superfast,44,Low,
160,Clear,Afternoon,Local,26,Medium,
130,Rainy,Evening,Express,40,High,
190,Foggy,Night,Superfast,45,Low,
170,Clear,Morning,Local,27,Medium,
140,Rainy,Afternoon,Express,41,High,
180,Foggy,Evening,Superfast,46,Low,
160,Clear,Night,Local,28,Medium,
130,Rainy,Morning,Express,42,High,
190,Foggy,Afternoon,Superfast,47,Low,
170,Clear,Evening,Local,29,Medium,
140,Rainy,Night,Express,43,High,
180,Foggy,Morning,Superfast,48,Low,
160,Clear,Afternoon,Local,30,Medium,
130,Rainy,Evening,Express,44,High,
190,Foggy,Night,Superfast,49,Low,
170,Clear,Morning,Local,31,Medium,
140,Rainy,Afternoon,Express,45,High,
180,Foggy,Evening,Superfast,50,Low,
160,Clear,Night,Local,32,Medium,
130,Rainy,Morning,Express,46,High,
190,Foggy,Afternoon,Superfast,51,Low,
170,Clear,Evening,Local,33,Medium,
140,Rainy,Night,Express,47,High,
180,Foggy,Morning,Superfast,52,Low,
160,Clear,Afternoon,Local,34,Medium,
130,Rainy,Evening,Express,48,High,
190,Foggy,Night,Superfast,53,Low,
170,Clear,Morning,Local,35,Medium,
140,Rainy,Afternoon,Express,49,High,
180,Foggy,Evening,Superfast,54,Low,
160,Clear,Night,Local,36,Medium,
130,Rainy,Morning,Express,50,High,
190,Foggy,Afternoon,Superfast,55,Low,
170,Clear,Evening,Local,37,Medium,
140,Rainy,Night,Express,51,High,
180,Foggy,Morning,Superfast,56,Low,
160,Clear,Afternoon,Local,38,Medium,
130,Rainy,Evening,Express,52,High,
190,Foggy,Night,Superfast,57,Low,
170,Clear,Morning,Local,39,Medium,
140,Rainy,Afternoon,Express,53,High,
180,Foggy,Evening,Superfast,58,Low,
160,Clear,Night,Local,40,Medium,
130,Rainy,Morning,Express,54,High,
190,Foggy,Afternoon,Superfast,59,Low,
170,Clear,Evening,Local,41,Medium,
140,Rainy,Night,Express,55,High,
180,Foggy,Morning,Superfast,60,Low,
160,Clear,Afternoon,Local,42,Medium,
130,Rainy,Evening,Express,56,High,
190,Foggy,Night,Superfast,61,Low,
170,Clear,Morning,Local,43,Medium,
140,Rainy,Afternoon,Express,57,High,
180,Foggy,Evening,Superfast,62,Low,
160,Clear,Night,Local,44,Medium,
130,Rainy,Morning,Express,58,High,
190,Foggy,Afternoon,Superfast,63,Low,
170,Clear,Evening,Local,45,Medium,
140,Rainy,Night,Express,59,High,
180,Foggy,Morning,Superfast,64,Low,
160,Clear,Afternoon,Local,46,Medium,
130,Rainy,Evening,Express,60,High,
190,Foggy,Night,Superfast,65,Low,
170,Clear,Morning,Local,47,Medium,
140,Rainy,Afternoon,Express,61,High,
180,Foggy,Evening,Superfast,66,Low,
160,Clear,Night,Local,48,Medium,
130,Rainy,Morning,Express,62,High,
190,Foggy,Afternoon,Superfast,67,Low,
170,Clear,Evening,Local,49,Medium,
140,Rainy,Night,Express,63,High,
180,Foggy,Morning,Superfast,68,Low,
160,Clear,Afternoon,Local,50,Medium,
130,Rainy,Evening,Express,64,High,
190,Foggy,Night,Superfast,69,Low,
170,Clear,Morning,Local,51,Medium,
140,Rainy,Afternoon,Express,65,High,
180,Foggy,Evening,Superfast,70,Low,
160,Clear,Night,Local,52,Medium,
130,Rainy,Morning,Express,66,High,
190,Foggy,Afternoon,Superfast,71,Low,
170,Clear,Evening,Local,53,Medium,
140,Rainy,Night,Express,67,High,
180,Foggy,Morning,Superfast,72,Low,
160,Clear,Afternoon,Local,54,Medium,
130,Rainy,Evening,Express,68,High,
190,Foggy,Night,Superfast,73,Low,
170,Clear,Morning,Local,55,Medium,
140,Rainy,Afternoon,Express,69,High,
180,Foggy,Evening,Superfast,74,Low,
160,Clear,Night,Local,56,Medium,
130,Rainy,Morning,Express,70,High,
190,Foggy,Afternoon,Superfast,75,Low,
170,Clear,Evening,Local,57,Medium,
140,Rainy,Night,Express,71,High,
180,Foggy,Morning,Superfast,76,Low,
160,Clear,Afternoon,Local,58,Medium,
130,Rainy,Evening,Express,72,High,
190,Foggy,Night,Superfast,77,Low,
170,Clear,Morning,Local,59,Medium,
140,Rainy,Afternoon,Express,73,High,
180,Foggy,Evening,Superfast,78,Low,
160,Clear,Night,Local,60,Medium,
130,Rainy,Morning,Express,74,High,
190,Foggy,Afternoon,Superfast,79,Low,
170,Clear,Evening,Local,61,Medium,
140,Rainy,Night,Express,75,High,
180,Foggy,Morning,Superfast,80,Low,
160,Clear,Afternoon,Local,62,Medium,
130,Rainy,Evening,Express,76,High,
190,Foggy,Night,Superfast,81,Low,
170,Clear,Morning,Local,63,Medium,
140,Rainy,Afternoon,Express,77,High,
180,Foggy,Evening,Superfast,82,Low,
160,Clear,Night,Local,64,Medium,
130,Rainy,Morning,Express,78,High,
190,Foggy,Afternoon,Superfast,83,Low,
170,Clear,Evening,Local,65,Medium,
140,Rainy,Night,Express,79,High,
180,Foggy,Morning,Superfast,84,Low,
160,Clear,Afternoon,Local,66,Medium,
130,Rainy,Evening,Express,80,High,
190,Foggy,Night,Superfast,85,Low,
170,Clear,Morning,Local,67,Medium,
140,Rainy,Afternoon,Express,81,High,
180,Foggy,Evening,Superfast,86,Low,
160,Clear,Night,Local,68,Medium,
130,Rainy,Morning,Express,82,High,
190,Foggy,Afternoon,Superfast,87,Low,
170,Clear,Evening,Local,69,Medium,
140,Rainy,Night,Express,83,High,
180,Foggy,Morning,Superfast,88,Low,
160,Clear,Afternoon,Local,70,Medium,
130,Rainy,Evening,Express,84,High,
190,Foggy,Night,Superfast,89,Low,
170,Clear,Morning,Local,71,Medium,
140,Rainy,Afternoon,Express,85,High,
180,Foggy,Evening,Superfast,90,Low,
160,Clear,Night,Local,72,Medium,
130,Rainy,Morning,Express,86,High,
190,Foggy,Afternoon,Superfast,91,Low,
170,Clear,Evening,Local,73,Medium,
140,Rainy,Night,Express,87,High,
180,Foggy,Morning,Superfast,92,Low,
160,Clear,Afternoon,Local,74,Medium,
130,Rainy,Evening,Express,88,High,
190,Foggy,Night,Superfast,93,Low,
170,Clear,Morning,Local,75,Medium,
140,Rainy,Afternoon,Express,89,High,
180,Foggy,Evening,Superfast,94,Low,
160,Clear,Night,Local,76,Medium,
130,Rainy,Morning,Express,90,High,
190,Foggy,Afternoon,Superfast,95,Low,
170,Clear,Evening,Local,77,Medium,
140,Rainy,Night,Express,91,High,
180,Foggy,Morning,Superfast,96,Low,
160,Clear,Afternoon,Local,78,Medium,
130,Rainy,Evening,Express,92,High,
